ID,Model ID,Japanese,English,Spanish,French,German,Italian,ROM Radius Record Index,ROM Model ID,Model ID Match,Radius Source,Radius Source Hex,Battle Radius,Battle Radius Hex
00c9,z055b,ゴードンヘッド,mega moai,megamoai,moaïaïaï,Mega-Moai,Mega Moai,187,z055b,1,3072,0x0c00,12288,0x3000
00ca,z056a,ヘルビースト,sculptrice,esculptricia,glargouille,Skrupellose Skulptur,Scultura gelida,188,z056a,1,2457,0x0999,9828,0x2664
00cb,z056b,リビングスタチュー,sculpture vulture,buitre esculpido,froicoucass,Skalptur,Demone marmoreo,189,z056b,1,2457,0x0999,9828,0x2664
00cc,z056c,ウィングデビル,aggrosculpture,agrrroscultura,rapace-muraille,Skulptortur,Aggrescultura,190,z056c,1,2457,0x0999,9828,0x2664
00cd,z057a,デスプリースト,wight priest,sacerdote esquelético,prêtre maudit,Todespriester,Druido dell'ombra,191,z057a,1,1843,0x0733,7372,0x1ccc
00ce,z057b,ワイトキング,wight king,pontífice esquelético,roi maudit,Todeskönig,Druido supremo,192,z057b,1,1843,0x0733,7372,0x1ccc
00cf,z072a,ヘルマリーン,claw hammer,martillo con garras,vilerequin pèlerin,Klauenhammer,Pinz,193,z072a,1,3276,0x0ccc,13104,0x3330
00d0,z072b,サンドシャーク,power hammer,martillo potente,vilerequin tigre,Krafthammer,Martellissimus,194,z072b,1,3276,0x0ccc,13104,0x3330
00d4,z074a,スネークロード,python priest,pitoniso,vicaire vipère,Pythonpriester,Serpe sacrilega,195,z074a,1,2560,0x0a00,10240,0x2800
00d5,z074b,じごくのメンドーサ,cobra cardinal,pitoniso cardenal,cardinal crotale,Kobrakardinal,Caracobra,196,z074b,1,2560,0x0a00,10240,0x2800
00d6,z080a,れんごく天馬,tantamount,tantomonta,tempétalon,Gaul des Grauens,Tanamont,197,z080a,1,3727,0x0e8f,14908,0x3a3c
00d7,z080b,レジェンドホース,godsteed,montatanto,impur-sang,Ross der Rache,Furia demoniaca,198,z080b,1,3727,0x0e8f,14908,0x3a3c
00d8,z080c,黒竜丸,Equinox,Montadito,Équinocte,Hengst der Angst,Equinox,199,z080c,1,3727,0x0e8f,14908,0x3a3c
00d9,z034a,サイクロプス,cyclops,cíclope titán,cyclope,Zyklop,Ciclope,200,z034a,1,4096,0x1000,16384,0x4000
00da,z034b,ギガンテス,gigantes,cíclope gigante,géant,Gigant,Gigante,201,z034b,1,4096,0x1000,16384,0x4000
00db,z034c,アトラス,Atlas,Atlas,Atlas,Atlas,Atlas,202,z034c,1,4096,0x1000,16384,0x4000
00dc,z028a,トロル,troll,trol,troll,Troll,Troll,203,z028a,1,4608,0x1200,18432,0x4800
00dd,z028b,ボストロール,boss troll,trol jefe,chef troll,Trollboss,Troll capo,204,z028b,1,4608,0x1200,18432,0x4800
00de,z028c,トロルキング,great troll,trol gigante,grand troll,Riesentroll,Grande Troll,205,z028c,1,4608,0x1200,18432,0x4800
00df,z026a,ようがんまじん,magmalice,magmalicioso,magmasse,Magmalefiz,Magmalvagio,206,z026a,1,2867,0x0b33,11468,0x2ccc
00e0,z026b,ひょうがまじん,firn fiend,firn,glaglator,Gletschergeist,Gelmonio,207,z026b,1,2867,0x0b33,11468,0x2ccc
00e1,z075a,スライムジェネラル,Shogum,Limiermo Tell,Monte-gluancien,Schleimurai,Slime Parabellum,208,z075a,1,3481,0x0d99,13924,0x3664
00e2,z075b,ゴッドライダー,slionheart,corazón de limón,monte-gluancêtre,Bismatsch,Cuor di Slime,209,z075b,1,3481,0x0d99,13924,0x3664
00e3,z076a,Ｓキラーマシン,Trauminator,Traumanator,Trauminator,Trauminator,Traumatizzator,210,z076a,1,5529,0x1599,22116,0x5664
00e4,z076b,ゴールドマジンガ,AU-1000,AU-1000,AU-1000,AU-1000,AU-1000,211,z076b,1,5529,0x1599,22116,0x5664
00e5,z076c,ファイナルウェポン,void droid,androide borde,droïde arachnoïde,Drohboter,Vacuum Droid,212,z076c,1,5529,0x1599,22116,0x5664
00e6,z081a,キマイラロード,alphyn,leoncio,imbroglion,Pantherror,Signore dei leoni,213,z081a,1,6553,0x1999,26212,0x6664
00e7,z081b,じごくのヌエ,vermil lion,bermeleón,vermilion,Lileu,Red Leo,214,z081b,1,6553,0x1999,26212,0x6664
00e8,z078c,デビルスノー,shivery shrubbery,maldad patuda helada,cryofolia,Zitterzweig,Brem Trem,215,z078c,1,2048,0x0800,8192,0x2000
00e9,z079c,ランドンクイナ,apeckalypse,pollastre apocalíptico,aigrettox,Apickalypse,Trisbecca,216,z079c,1,3379,0x0d33,13516,0x34cc
00ea,z081c,ハヌマーン,Nemean,León de Nemea,Némée,Nemeische Löwe,Nemean,217,z081c,1,6553,0x1999,26212,0x6664
00eb,z023c,ガメゴンレジェンド,wonder wyrtle,tortuverno del averno,tortugondor,Wunderdrache,Meraviguscio,218,z023c,1,2764,0x0acc,11056,0x2b30
00ec,z026c,あんこくまじん,geothaum,accidente geológico,géolem,Tektokrat,Geomagico,219,z026c,1,2867,0x0b33,11468,0x2ccc
00ed,z031c,スターキメラ,cosmic chimaera,quimera cósmica,chimère cosmique,Kosmische Chimäre,Chimera cosmica,220,z031c,1,1638,0x0666,6552,0x1998
00ee,z032c,デスカイザー,master moosifer,mucifer alfa,maître belzébik,Meister-Bullzebub,Basettos maximo,221,z032c,1,2867,0x0b33,11468,0x2ccc
00ef,z041c,まおうのかめん,freaky tiki,tiki tiki,traumasque,Magische Maske,Tantoterror,222,z041c,1,2048,0x0800,8192,0x2000
00f0,z046d,まかいファイター,mandrake monarch,draconarca,commandragor,Alraunenmonarch,Drapocalypse supremo,223,z046d,1,2662,0x0a66,10648,0x2998
00f1,z049c,ヘルミラージュ,cumulus hex,cúmulo maldito,cumulus rex,Wolkenhexer,Nube infernale,224,z049c,1,3584,0x0e00,14336,0x3800
00f2,z050c,プラチナキング,platinum king jewel,rey joya de platino,bijou royal en platine,Platinkönigsjuwel,Platislime,225,z050c,1,2048,0x0800,8192,0x2000
00f3,z052d,マジックアーマー,charmour,encantadura,heaumage,Erzmagier,Larmagic,226,z052d,1,1843,0x0733,7372,0x1ccc
00f4,z053c,ヴァルハラー,blight knight,caballero maldito,seigneur saigneur,Verderbnisritter,Victorio,227,z053c,1,2150,0x0866,8600,0x2198
00f5,z055c,クラウンヘッド,moai minstrel,moai payaso,moaï marrant,Moai-Musikant,Clown Moai,228,z055c,1,3072,0x0c00,12288,0x3000
00f6,z056d,ホラービースト,grrrgoyle,garrrgola,grrrgouille,Grrrgyl,Groargoyle,229,z056d,1,2457,0x0999,9828,0x2664
00f7,z057c,ロードコープス,wight emperor,emperador esquelético,empereur maudit,Todeskaiser,Monarca incantatore,230,z057c,1,1843,0x0733,7372,0x1ccc
00f8,z062c,イエローサタン,boogie manguini,bocazas endemoniado,manguini boogie,Zappelnde Maulheld,Boca suprema,231,z062c,1,3072,0x0c00,12288,0x3000
00f9,z064c,ちていのばんにん,barriearthenwarrior,jinete de defenscota,cavalier de braise,Harte Keramikkrieger,Cavaliere ceramico,232,z064c,1,2048,0x0800,8192,0x2000
00fa,z066c,メフィストフェレス,grim reaper,muerte súbita,glauque-mitaine,Sensenmännchen,Macabrette,233,z066c,1,1740,0x06cc,6960,0x1b30
00fb,z067d,ゴールドタヌ,bling badger,malpache dorado,blaireau bling,Glitzerdachs,Cancab,234,z067d,1,1597,0x063d,6388,0x18f4
00fc,z068c,じごくぐるま,flamin' drayman,carretero infernal,chauffard d'assaut,Flammende Fuhrmann,Carrofante,235,z068c,1,3072,0x0c00,12288,0x3000
00fd,z072c,ダークマリーン,hammer horror,martillo horroroso,vilerequin marteau,Horrorhammer,Marterribilis,236,z072c,1,3276,0x0ccc,13104,0x3330
00fe,z074c,ビュアール,boa bishop,pitoniso obispo,prélat boa,Boabischof,Bad Boa,237,z074c,1,2560,0x0a00,10240,0x2800
00ff,z082a,ガニラス,handsome crab,cangrejo macizo,crabat-joie,Krabbarbar,Belgrank,238,z082a,1,2457,0x0999,9828,0x2664
0100,z082b,ぐんたいガニ,crabid,carabinero,crabarbare,Sabberkrabbe,Grankiolon,239,z082b,1,2457,0x0999,9828,0x2664
0101,z082c,じごくのハサミ,crabber dabber doo,camarón de la península,crabject,Krabba-Dabba-Du,Gran Grank,240,z082c,1,2457,0x0999,9828,0x2664
0102,z082d,キラークラブ,king crab,centollo,crabsolutiste,Königskrabbe,King Grank,241,z082d,1,2457,0x0999,9828,0x2664
0103,z083a,アイスビックル,icikiller,garrero gélido,glaciatueur,Eisklaue,Killer delle nevi,242,z083a,1,2457,0x0999,9828,0x2664
0104,z083b,オーシャンクロー,riptide,garrero marino,rase-marée,Schlitzer,Assalitore marino,243,z083b,1,2457,0x0999,9828,0x2664
0105,z083c,クローハンズ,claws,garrero,griffeur,Kralle,Assalitore gelido,244,z083c,1,2457,0x0999,9828,0x2664
0106,z084a,ギャオース,seasaur,oceanosaurio,aquasaure,Seesaurier,Drago d'acqua,245,z084a,1,2969,0x0b99,11876,0x2e64
0107,z084b,ヘルダイバー,abyss diver,oceanosaurio abisal,abyssaure,Abgrundtaucher,Dragoon,246,z084b,1,2969,0x0b99,11876,0x2e64
0108,z084c,シーバーン,seavern,guiverno marinero,pélagosaure,Seewurm,Vyverna marina,247,z084c,1,2969,0x0b99,11876,0x2e64
0109,z028d,ダークトロル,terror troll,trol terrorífico,troll à trouille,Terrortroll,Terror Troll,248,z028d,1,4608,0x1200,18432,0x4800
010a,z000d,スライム,slime,limo,gluant,Schleim,Slime,249,z000d,1,819,0x0333,3276,0x0ccc
010b,z000d,スライム,slime,limo,gluant,Schleim,Slime,250,z000d,1,819,0x0333,3276,0x0ccc
010c,z075c,デンガー,prime slime,primus inter limus,monte-gluantique,Pappoleon,Slime optimus,251,z075c,1,3481,0x0d99,13924,0x3664
010d,b006b,エビルフレイム,scarlet fever,escarlatina,scarlatin,Masernmops,Febbre scarlatta,252,z001a,0,3072,0x0c00,12288,0x3000
010e,b003a,ブルドーガ,hexagoon,hexatauro,hexacorne,Hexagoblin,Hexagon,253,z010a,0,2457,0x0999,9828,0x2664
010f,z069c,キャノンキング,blastoad,sapogaitas petardo,crapoxique,Böllerkröte,Deflagrana,254,z069c,1,3276,0x0ccc,13104,0x3330
0110,z051a,ストロングアニマル,drackal,dracal,dracal,Drakal,Drakallo,255,z051a,1,5324,0x14cc,21296,0x5330
0111,z082a,ガニラス,handsome crab,cangrejo macizo,crabat-joie,Krabbarbar,Belgrank,256,z082a,1,2457,0x0999,9828,0x2664
0112,z034a,サイクロプス,cyclops,cíclope titán,cyclope,Zyklop,Ciclope,257,z034a,1,4096,0x1000,16384,0x4000
0113,z010b,だいまじん,stone guardian,coloso guardián,gardien de pierre,Steinwächter,Guardia di pietra,258,z010b,1,2457,0x0999,9828,0x2664
0114,z030b,ギガントドラゴン,drakulard,drácolard,draculard,Wanstdrache,Draku Lard,259,z030b,1,3584,0x0e00,14336,0x3800
0115,z081b,じごくのヌエ,vermil lion,bermeleón,vermilion,Lileu,Red Leo,260,z081b,1,6553,0x1999,26212,0x6664
0116,z028d,ダークトロル,terror troll,trol terrorífico,troll à trouille,Terrortroll,Terror Troll,261,z028d,1,4608,0x1200,18432,0x4800
0117,z052a,デビルアーマー,harmour,aymadura,hauberserker,Rüde Rüstung,Karmatura,262,z052a,1,1843,0x0733,7372,0x1ccc
0118,z052b,てっこうまじん,bad karmour,karmadura,cuirassassin,Eisenhauer,Karmatura del male,263,z052b,1,1843,0x0733,7372,0x1ccc
0119,z053a,ナイトリッチ,fright knight,caballero horripilante,seigneur malheur,Albritter,Cavaliere della paura,264,z053a,1,2150,0x0866,8600,0x2198
011a,z056c,ウィングデビル,aggrosculpture,agrrroscultura,rapace-muraille,Skulptortur,Aggrescultura,265,z056c,1,2457,0x0999,9828,0x2664
011b,z038c,ヒートギズモ,hell niño,borrascazo,cramulus,Wütende Wolke,Cumulus infernale,266,z038c,1,1228,0x04cc,4912,0x1330
011c,b006b,エビルフレイム,scarlet fever,escarlatina,scarlatin,Masernmops,Febbre scarlatta,267,b006b,1,3481,0x0d99,13924,0x3664
011d,z044a,突げきホーン,swinoceros,maliceronte,cornocéros,Schweinozeros,Malignoceronte,268,z044a,1,1843,0x0733,7372,0x1ccc
011e,z044b,ライノキング,splatterhorn,feroceronte,rudocéros,Marterhorn,Rinoferoce,269,z044b,1,1536,0x0600,6144,0x1800
011f,b006b,エビルフレイム,scarlet fever,escarlatina,scarlatin,Masernmops,Febbre scarlatta,270,b006b,1,3481,0x0d99,13924,0x3664
0120,b006b,エビルフレイム,scarlet fever,escarlatina,scarlatin,Masernmops,Febbre scarlatta,271,b006b,1,3481,0x0d99,13924,0x3664
0121,b006b,エビルフレイム,scarlet fever,escarlatina,scarlatin,Masernmops,Febbre scarlatta,272,b006b,1,3481,0x0d99,13924,0x3664
0122,z000a,スライム,slime,limo,gluant,Schleim,Slime,273,z000a,1,819,0x0333,3276,0x0ccc
0123,z000a,スライム,slime,limo,gluant,Schleim,Slime,274,z000a,1,819,0x0333,3276,0x0ccc
0124,z063a,ズッキーニャ,cruelcumber,pepinillo guerrero,concombrageur,Saure Gurke,Verdurfante,275,z063a,1,2048,0x0800,8192,0x2000
0125,z040c,ゾンビナイト,stenchurion,hedourión,décarion,Stinkurio,Lanciere velenoso,276,z040c,1,2150,0x0866,8600,0x2198
0126,z014b,はぐれメタル,liquid metal slime,burbujilimo metálico,gluant de mercure,Flüssigmetallschleim,Liquislime,277,z014b,1,1228,0x04cc,4912,0x1330
0127,z012c,メタルキング,metal king slime,limo rey metálico,roi gluant de métal,Metallkönigschleim,Re Slime grigio,278,z012c,1,2764,0x0acc,11056,0x2b30
0128,z050c,プラチナキング,platinum king jewel,rey joya de platino,bijou royal en platine,Platinkönigsjuwel,Platislime,279,z050c,1,2048,0x0800,8192,0x2000
0129,z000c,メタルスライム,metal slime,limo metálico,gluant de métal,Metallschleim,Slime grigio,280,z000c,1,819,0x0333,3276,0x0ccc
012a,z004c,キラーアーマー,lethal armour,armadura letal,armure fatale,Todesrüstung,Armatura letale,281,z004c,1,1740,0x06cc,6960,0x1b30
012c,b003a,ブルドーガ,hexagoon,hexatauro,hexacorne,Hexagoblin,Hexagon,282,b003a,1,3194,0x0c7a,12776,0x31e8
012d,b004a,なぞの黒騎士,Wight Knight,Caballero Oscuro,chevalier Karbon,Schwarze Ritter,Cavaliere dell'Ombra,283,b004a,1,3072,0x0c00,12288,0x3000
012e,b005a,妖女イシュダル,Morag,Morag,Sylvane,Morag,Morag,284,b005a,1,2457,0x0999,9828,0x2664
012f,b006a,病魔パンデルム,Ragin' Contagion,Pestilencia,Épidémon,Seine Pestilenz,Epidemon,285,b006a,1,3481,0x0d99,13924,0x3664
0130,b007a,魔神ジャダーマ,Master of Nu'un,Andosiniestro,Blaisephème,Luziferius,Signore del Nulla,286,b007a,1,3072,0x0c00,12288,0x3000
0131,b008a,ぬしさま,Lleviathan,Leviatán,Moby Pick,Leviatran,Baleviatan,287,b008a,1,7987,0x1f33,31948,0x7ccc
0132,b009a,石の番人,Garth Goyle,Gárgol,garde Gouille,Gneisbeißer,Gran Goyle,288,b009a,1,3072,0x0c00,12288,0x3000
0133,b010a,妖毒虫ズオー,Tyrantula,Tirántula,Tyrantule,Tyrantula,Tirantula,289,b010a,1,2252,0x08cc,9008,0x2330
0134,b011a,アノン,Grand Lizzier,Draco,Balthézard,Kommodore Waran,Draklin,290,b011a,1,3584,0x0e00,14336,0x3800
0135,b012a,呪幻師シャルマナ,Larstastnaras,Larstastnaras,Larstastnaras,Larstastnaras,Ynimiga,291,b012a,1,3481,0x0d99,13924,0x3664
0136,b013a,魔教師エルシオン,Dreadmaster,Dire,Directueur,Grausige Pauker,Dyscyplos,292,b013a,1,2662,0x0a66,10648,0x2998
0137,b014a,大怪像ガドンゴ,Gadrongo,Tejujú,Gadrongo,Gadrongo,Gadrongo,293,b014a,1,3686,0x0e66,14744,0x3998
0138,b015a,グレイナル,Greygnarl,Dragris,Grizius,Graugnarz,Dragriphon,294,b015a,1,7680,0x1e00,30720,0x7800
0139,b016a,ゴレオン将軍,Goreham-Hogg,Teniente Schwein,général Mac Assin,Hauptmann Grunz,Generale Soinos,295,b016a,1,5120,0x1400,20480,0x5000
013a,b017a,ゲルニック将軍,Hootingham-Gore,Teniente Eule,général Mac Hulotte,Hauptmann Kauz,Generale Gufus,296,b017a,1,2457,0x0999,9828,0x2664
013b,b018a,ギュメイ将軍,Goresby-Purrvis,Teniente Katze,général Mac Léo,Hauptmann Katz,Generale Pardus,297,b018a,1,2662,0x0a66,10648,0x2998
013c,b019a,暗黒皇帝ガナサダイ,King Godwyn,rey König,roi Govin de Klenfer,König Gottfried,Imperatore Teufel,298,b019a,1,2662,0x0a66,10648,0x2998
013d,b020a,暗黒皇帝ガナサダイ,King Godwyn,rey König,roi Govin de Klenfer,König Gottfried,Imperatore Teufel,299,b020a,1,5324,0x14cc,21296,0x5330
013e,b021a,闇竜バルボロス,Barbarus,Fafnir,Barbarus,Barbarus,Barbarus,300,b021a,1,7987,0x1f33,31948,0x7ccc
013f,b022a,堕天使エルギオス,Corvus,Luzbel,Corvus,Corvus,Corvus,301,b022a,1,2457,0x0999,9828,0x2664
0140,b023a,堕天使エルギオス,Corvus,Luzbel,Corvus,Corvus,Corvus,302,b023a,1,4608,0x1200,18432,0x4800
0141,b003b,アイアンブルドー,octagoon,octotauro,octocorne,Oktogoblin,Octagon,303,b003b,1,3194,0x0c7a,12776,0x31e8
0142,b004b,ブラッドナイト,Sir Sanguinus,Sir Sanguinus,baron Hémoglobon,Sir Sanguinus,Sir Sanguinus,304,b004b,1,3072,0x0c00,12288,0x3000
0143,b005b,ヘルヴィーナス,cannibelle,canibella,cannibelle,Kannibella,Cannibella,305,b005b,1,2457,0x0999,9828,0x2664
0144,b006b,エビルフレイム,scarlet fever,escarlatina,scarlatin,Masernmops,Febbre scarlatta,306,b006b,1,3481,0x0d99,13924,0x3664
0145,b006c,マッドブリザード,uncommon cold,permafrost,hypothermiasme,Bibber-Bakillus,Gelo profondo,307,b006c,1,3481,0x0d99,13924,0x3664
0146,b007b,破壊神フォロボス,Tyrannosaurus Wrecks,Cernunnos,Tyrannomort,Tyrannosaurus Hex,Tirannosaurus Max,308,b007b,1,3072,0x0c00,12288,0x3000
0147,b008b,だいおうクジラ,stale whale,ballena varada,léviathon,Annodazu-Wal,Baledetta,309,b008b,1,7987,0x1f33,31948,0x7ccc
0148,b008c,オーシャンボーン,pale whale,ballena blancuzca,bhaleine,Strahlwal,Cetaceus pallidus,310,b008c,1,7987,0x1f33,31948,0x7ccc
0149,b010b,デスタランチュラ,widow's pique,pico de viuda,veuve venin,Pfuispinne,Tessitele,311,b010b,1,2252,0x08cc,9008,0x2330
014a,b010c,ボーンスパイダ,cyber spider,ciberaraña,armygale,Robospinne,Technoaracnide,312,b010c,1,2252,0x08cc,9008,0x2330
014b,b012b,うみうしひめ,slugly betsy,beafea,laidy,Igitte,Perfidya,313,b012b,1,3481,0x0d99,13924,0x3664
014c,b013b,イデアラゴン,Elusid,Elusido,Grévanescent,Volataire,Elusid,314,b013b,1,2662,0x0a66,10648,0x2998
014d,b014b,ヘルガーディアン,hell's gatekeeper,decapitado infernal,gardien de l'enfer,Höllenpförtner,Custode infernale,315,b014b,1,3686,0x0e66,14744,0x3998
014e,b014c,ギリメカラ,wishmaster,genio malvado,carnagénie,Wunschmeister,Mastro Desiderio,316,b014c,1,3686,0x0e66,14744,0x3998
014f,b016b,怪力軍曹イボイノス,Hammibal,Kochinillen,Hannimal,Clausewutz,Porcesare,317,b016b,1,5120,0x1400,20480,0x5000
0150,b017b,邪眼皇帝アウルート,Fowleye,Pajarraken,Volattila,Uhunhold,Gufugawa,318,b017b,1,2457,0x0999,9828,0x2664
0151,b018b,魔剣神レパルド,Excalipurr,Felinen,Charibaldi,Parserval,Bonapardus,319,b018b,1,2662,0x0a66,10648,0x2998
0152,b021b,グレイナル,Greygnarl,Dragris,Grizius,Graugnarz,Dragriphon,320,b021b,1,7987,0x1f33,31948,0x7ccc
0153,b007c,いにしえの魔神,Yore,Matasalén,Fourax,Megrusalem,Matsalem,321,b007c,1,3072,0x0c00,12288,0x3000
0154,b024a,アルマトラ,Nodoph,Leonírico,Atoner,Tatzel,Nodoph,322,b024a,1,6553,0x1999,26212,0x6664
0155,b025a,ギャングアニマル,Rover,Lindo Pulgoso,Médhor,Lumpi,Doggy,323,b025a,1,5734,0x1666,22936,0x5998
0156,b019b,名をうばわれし王,King Godfrey,rey Káiser,roi Godefroi de Klenfer,König Gottlieb,Re Goffredo,324,b019b,1,2662,0x0a66,10648,0x2998
0157,b012c,フォロボシータ,Tyrannosaura Wrecks,Cernunnas,Tyrannamort,Tyrannosaura Hex,Tirannosaura Lex,325,b012c,1,3481,0x0d99,13924,0x3664
0158,b016a,ゴレオン将軍,Goreham-Hogg,Teniente Schwein,général Mac Assin,Hauptmann Grunz,Generale Soinos,326,b016a,1,5120,0x1400,20480,0x5000
0159,b017a,ゲルニック将軍,Hootingham-Gore,Teniente Eule,général Mac Hulotte,Hauptmann Kauz,Generale Gufus,327,b017a,1,2457,0x0999,9828,0x2664
015a,b018a,ギュメイ将軍,Goresby-Purrvis,Teniente Katze,général Mac Léo,Hauptmann Katz,Generale Pardus,328,b018a,1,2662,0x0a66,10648,0x2998
015b,b008a,ぬしさま,Lleviathan,Leviatán,Moby Pick,Leviatran,Baleviatan,329,b008a,1,7987,0x1f33,31948,0x7ccc
01f4,b100a,竜王,Dragonlord,Draconarius,Lordragon,Drachenfürst,Dragonlord,330,b100a,1,4096,0x1000,16384,0x4000
01f5,b101a,シドー,Malroth,Malroth,Malroth,Malroth,Malroth,331,b101a,1,3584,0x0e00,14336,0x3800
01f6,b102a,バラモス,Baramos,Baramos,Baramos,Baramos,Padramos,332,b102a,1,3686,0x0e66,14744,0x3998
01f7,b103a,ゾーマ,Zoma,Zoma,Zoma,Zoma,Zoma,333,b103a,1,4096,0x1000,16384,0x4000
01f8,b104a,デスピサロ,Psaro,Psaro,Psaro,Psaro,Psaro,334,b104a,1,4096,0x1000,16384,0x4000
01f9,b105a,エスターク,Estark,Estark,Estark,Estark,Estark,335,b105a,1,4096,0x1000,16384,0x4000
01fa,b106a,ミルドラース,Nimzo,Nimzo,Nimzo,Nimzo,Nimzo,336,b106a,1,5324,0x14cc,21296,0x5330
01fb,b107a,ムドー,Murdaw,Murdaw,Meurtor,Mordar,Lacertow,337,b107a,1,2560,0x0a00,10240,0x2800
01fc,b108a,デスタムーア,Mortamor,Mortamor,Mortamor,Mortamor,Moltomort,338,b108a,1,3072,0x0c00,12288,0x3000
01fd,b108b,ひだりて,left claw,garra izquierda,griffe gauche,Linke Klaue,artiglio sinistro,339,b108b,1,1433,0x0599,5732,0x1664
01fe,b108c,みぎて,right claw,garra derecha,griffe droite,Rechte Klaue,artiglio destro,340,b108c,1,1433,0x0599,5732,0x1664
01ff,b109a,オルゴ・デミーラ,Orgodemir,Orgodemir,Orgodémir,Orgodemir,Granvert,341,b109a,1,4608,0x1200,18432,0x4800
0200,b110a,ドルマゲス,Dhoulmagus,Dhoulmagus,Dhoulmagus,Dhoulmagus,Dhoulmagus,342,b110a,1,4608,0x1200,18432,0x4800
0201,b111a,ラプソーン,Rhapthorne,Rhapthorne,Rhapthorne,Rhapthorne,Rhapthorne,343,b111a,1,5120,0x1400,20480,0x5000
0202,b112a,ダークドレアム,Nokturnus,Nokturnus,Nokturnus,Nokturnus,Nokturnus,344,b112a,1,3072,0x0c00,12288,0x3000
0258,b100a,竜王,Dragonlord,Draconarius,Lordragon,Drachenfürst,Dragonlord,345,b100a,1,4096,0x1000,16384,0x4000
0259,b100a,竜王,Dragonlord,Draconarius,Lordragon,Drachenfürst,Dragonlord,346,b100a,1,4096,0x1000,16384,0x4000
025a,b101a,シドー,Malroth,Malroth,Malroth,Malroth,Malroth,347,b101a,1,3584,0x0e00,14336,0x3800
025b,b101a,シドー,Malroth,Malroth,Malroth,Malroth,Malroth,348,b101a,1,3584,0x0e00,14336,0x3800
025c,b101a,シドー,Malroth,Malroth,Malroth,Malroth,Malroth,349,b101a,1,3584,0x0e00,14336,0x3800
025d,b101a,シドー,Malroth,Malroth,Malroth,Malroth,Malroth,350,b101a,1,3584,0x0e00,14336,0x3800
025e,b102a,バラモス,Baramos,Baramos,Baramos,Baramos,Padramos,351,b102a,1,3686,0x0e66,14744,0x3998
025f,b102a,バラモス,Baramos,Baramos,Baramos,Baramos,Padramos,352,b102a,1,3686,0x0e66,14744,0x3998
0260,b102a,バラモス,Baramos,Baramos,Baramos,Baramos,Padramos,353,b102a,1,3686,0x0e66,14744,0x3998
0261,b102a,バラモス,Baramos,Baramos,Baramos,Baramos,Padramos,354,b102a,1,3686,0x0e66,14744,0x3998
0262,b103a,ゾーマ,Zoma,Zoma,Zoma,Zoma,Zoma,355,b103a,1,4096,0x1000,16384,0x4000
0263,b103a,ゾーマ,Zoma,Zoma,Zoma,Zoma,Zoma,356,b103a,1,4096,0x1000,16384,0x4000
0264,b103a,ゾーマ,Zoma,Zoma,Zoma,Zoma,Zoma,357,b103a,1,4096,0x1000,16384,0x4000
0265,b103a,ゾーマ,Zoma,Zoma,Zoma,Zoma,Zoma,358,b103a,1,4096,0x1000,16384,0x4000
0266,b104a,デスピサロ,Psaro,Psaro,Psaro,Psaro,Psaro,359,b104a,1,4096,0x1000,16384,0x4000
0267,b104a,デスピサロ,Psaro,Psaro,Psaro,Psaro,Psaro,360,b104a,1,4096,0x1000,16384,0x4000
0268,b104a,デスピサロ,Psaro,Psaro,Psaro,Psaro,Psaro,361,b104a,1,4096,0x1000,16384,0x4000
0269,b104a,デスピサロ,Psaro,Psaro,Psaro,Psaro,Psaro,362,b104a,1,4096,0x1000,16384,0x4000
026a,b104a,デスピサロ,Psaro,Psaro,Psaro,Psaro,Psaro,363,b104a,1,4096,0x1000,16384,0x4000
026b,b104a,デスピサロ,Psaro,Psaro,Psaro,Psaro,Psaro,364,b104a,1,4096,0x1000,16384,0x4000
026c,b104a,デスピサロ,Psaro,Psaro,Psaro,Psaro,Psaro,365,b104a,1,4096,0x1000,16384,0x4000
026d,b105a,エスターク,Estark,Estark,Estark,Estark,Estark,366,b105a,1,4096,0x1000,16384,0x4000
026e,b105a,エスターク,Estark,Estark,Estark,Estark,Estark,367,b105a,1,4096,0x1000,16384,0x4000
026f,b105a,エスターク,Estark,Estark,Estark,Estark,Estark,368,b105a,1,4096,0x1000,16384,0x4000
0270,b105a,エスターク,Estark,Estark,Estark,Estark,Estark,369,b105a,1,4096,0x1000,16384,0x4000
0271,b105a,エスターク,Estark,Estark,Estark,Estark,Estark,370,b105a,1,4096,0x1000,16384,0x4000
0272,b105a,エスターク,Estark,Estark,Estark,Estark,Estark,371,b105a,1,4096,0x1000,16384,0x4000
0273,b106a,ミルドラース,Nimzo,Nimzo,Nimzo,Nimzo,Nimzo,372,b106a,1,5324,0x14cc,21296,0x5330
0274,b106a,ミルドラース,Nimzo,Nimzo,Nimzo,Nimzo,Nimzo,373,b106a,1,5324,0x14cc,21296,0x5330
0275,b106a,ミルドラース,Nimzo,Nimzo,Nimzo,Nimzo,Nimzo,374,b106a,1,5324,0x14cc,21296,0x5330
0276,b106a,ミルドラース,Nimzo,Nimzo,Nimzo,Nimzo,Nimzo,375,b106a,1,5324,0x14cc,21296,0x5330
0277,b106a,ミルドラース,Nimzo,Nimzo,Nimzo,Nimzo,Nimzo,376,b106a,1,5324,0x14cc,21296,0x5330
0278,b107a,ムドー,Murdaw,Murdaw,Meurtor,Mordar,Lacertow,377,b107a,1,2560,0x0a00,10240,0x2800
